name,chemical_CaO,chemical_CEC,chemical_Cu,chemical_EC,chemical_Fe,chemical_Humus,chemical_K2O,chemical_MgO,chemical_Mn,chemical_NH4-N,chemical_NO3-N,chemical_P2O5,chemical_pH,chemical_Phosphate_absorption_coefficient,chemical_TC,chemical_TN,chemical_Zn
s21004-1-1_kw210913_bmud_slee_01,1731,4.9,0,6.37,0.75,0.4,48.5,200,3.6,1.1,0,29.1,7.79,972,2.39,0.15,0.55
s21004-1-2_kw210913_bmud_slee_02,1387,4.7,0,3.62,1.81,0.5,37.1,156,4.38,0.9,0,153,8.18,815,2.47,0.2,1.62
s21004-1-3_kw210913_bmud_slee_03,1504,4.3,0,5.78,2.57,0.4,37.1,157,4.11,1.1,0,70,8.09,760,2.19,0.15,1.08
s21004-1-4_kw210913_bmud_slee_04,1765,3.5,0.03,5.36,0.26,0.5,35.2,134,4.32,0.6,0,35.6,7.12,348,2.85,0.12,0.64
s21004-1-5_kw210913_bmud_slee_05,1664,5.5,0.02,5.56,0.37,0.5,35.8,139,3.9,0.6,0,44.6,7.49,448,2.87,0.13,0.83
s21004-1-6_kw210913_bmud_slee_06,1757,3.9,0.02,5.62,0.17,0.4,36.5,147,3.45,0.6,0,39.6,7.56,431,2.9,0.14,0.61
s21004-2-1_kw210913_wout_slee_01,1374,4.4,0,4.16,4.85,0.5,35.7,146,5.84,0.8,0,163,8.15,1194,1.71,0.15,3.33
s21004-2-2_kw210913_wout_slee_02,1534,4.9,0,5.2,4.62,0.4,36.4,149,4.08,0.9,0,73.6,8.05,1189,2.19,0.15,1.76
s21004-2-3_kw210913_wout_slee_03,1301,3.6,0,6.14,2.83,0.6,31.8,127,4.4,0.9,0,132,8.06,1295,1.89,0.16,2.63
s21004-2-4_kw210913_wout_slee_04,1169,3.6,0.04,5.12,1.13,0.7,31.7,118,4.59,1.3,0,146,7.68,364,1.65,0.13,1.71
s21004-2-5_kw210913_wout_slee_05,1352,3.9,0,4.79,0.39,0.6,31.5,123,3.8,0.9,0,133,7.74,340,1.58,0.13,1.08
s21004-2-6_kw210913_wout_slee_06,1255,19.2,0.02,4.48,0.19,0.8,29,111,3.76,0.5,0,110,7.75,486,1.68,0.13,0.85
s21004-5-1_kw210929_kwout_1_slee_01,1773,4.7,0,4.27,0.53,0.3,36.9,272,13.1,2.5,0,0.9,8.24,1028,1.68,0.07,0.29
s21004-5-2_kw210929_kwout_1_slee_02,1793,3.6,0,4.84,0.28,0.2,39.7,163,13,4.7,0,12.7,8.28,838,1.57,0.07,0.07
s21004-5-3_kw210929_kwout_2_slee_01,2008,7.7,0,5.36,0.01,1.1,41.5,288,21.1,2.2,0,0,8.2,1262,3.94,0.13,0.13
s21004-5-4_kw210929_kwout_2_slee_02,1923,9.6,0,5.72,0,1,52.8,368,17.9,53.2,0,0,8.18,1097,4.11,0.14,0.13
s21004-5-5_kw210929_kwout_3_slee_01,1988,5.2,0,4.46,0,0.5,40.1,218,10.9,1.9,0,3.6,8.23,0,2.53,0.08,0.26
s21004-5-6_kw210929_kwout_3_slee_02,2384,5.2,0,4.2,0.11,0.4,39,217,11,1.5,0,0,8.26,0,2.85,0.08,0.21
s2215_1_kw2209_bmud_slee_1,1170,6.1,0.07,5.39,1.11,1.4,39.1,124,4.77,3.7,0,127,7.78,734,2.72,0.29,1.48
s2215_1_kw2209_bmud_slee_2,1320,4.3,0.01,4.64,0.87,1.6,46,153,4.62,5,0,112,7.96,887,2.78,0.3,1.33
s2215_1_kw2209_bmud_slee_3,1471,4.5,0.05,4.39,2.85,0.5,34.5,120,6.75,1.9,0,49.5,7.98,566,2.15,0.13,1.57
s2215_1_kw2209_bmud_slee_4,1629,6,0.01,4.01,2.97,0.5,39.9,145,5.45,1.9,0,43.7,8.02,542,2.21,0.12,1.59
