Sample,env,cnd
s21004-1-1_kw210913_bmud_slee_01,Saiki,seagrass
s21004-1-2_kw210913_bmud_slee_02,Saiki,seagrass
s21004-1-3_kw210913_bmud_slee_03,Saiki,seagrass
s21004-1-4_kw210913_bmud_slee_04,Saiki,seagrass
s21004-1-5_kw210913_bmud_slee_05,Saiki,seagrass
s21004-1-6_kw210913_bmud_slee_06,Saiki,seagrass
s21004-2-1_kw210913_wout_slee_01,Saiki,non
s21004-2-2_kw210913_wout_slee_02,Saiki,non
s21004-2-3_kw210913_wout_slee_03,Saiki,non
s21004-2-4_kw210913_wout_slee_04,Saiki,non
s21004-2-5_kw210913_wout_slee_05,Saiki,non
s21004-2-6_kw210913_wout_slee_06,Saiki,non
s21004-5-1_kw210929_kwout_1_slee_01,Saiki,seagrass
s21004-5-2_kw210929_kwout_1_slee_02,Saiki,seagrass
s21004-5-3_kw210929_kwout_2_slee_01,Saiki,seagrass
s21004-5-4_kw210929_kwout_2_slee_02,Saiki,seagrass
s21004-5-5_kw210929_kwout_3_slee_01,Saiki,seagrass
s21004-5-6_kw210929_kwout_3_slee_02,Saiki,seagrass
s2215_1_kw2209_bmud_slee_1,Saiki,seagrass
s2215_1_kw2209_bmud_slee_2,Saiki,seagrass
s2215_1_kw2209_bmud_slee_3,Saiki,seagrass
s2215_1_kw2209_bmud_slee_4,Saiki,seagrass
s2215_1_kw2209_bmud_slee_5,Saiki,seagrass
s2215_1_kw2209_bmud_slee_6,Saiki,seagrass
s2215_2_kw2209_wout1_slee_1,Saiki,seagrass
s2215_2_kw2209_wout1_slee_2,Saiki,seagrass
s2215_2_kw2209_wout1_slee_3,Saiki,seagrass
s2215_2_kw2209_wout1_slee_4,Saiki,seagrass
s2215_2_kw2209_wout1_slee_5,Saiki,seagrass
s2215_2_kw2209_wout1_slee_6,Saiki,seagrass
s2215_3_kw2209_wout2_far_slee_1,Saiki,non
s2215_3_kw2209_wout2_far_slee_2,Saiki,non
s2215_3_kw2209_wout2_far_slee_3,Saiki,non
s2215_3_kw2209_wout2_far_slee_4,Saiki,non
s2215_3_kw2209_wout2_far_slee_5,Saiki,non
s2215_3_kw2209_wout2_far_slee_6,Saiki,non
s2212_nt_bmud_slee_1,Noto,seagrass
s2212_nt_bmud_slee_2,Noto,seagrass
s2212_nt_bmud_slee_3,Noto,seagrass
s2212_nt_bmud_slee_4,Noto,seagrass
s2212_nt_bmud_slee_5,Noto,seagrass
s2212_nt_bmud_slee_6,Noto,seagrass
s2212_nt_wout_slee_1,Noto,non
s2212_nt_wout_slee_2,Noto,non
s2212_nt_wout_slee_3,Noto,non
s2212_nt_wout_slee_4,Noto,non
s2212_nt_wout_slee_5,Noto,non
s2212_nt_wout_slee_6,Noto,non
s2312-1-nt230808-bmud-1,Noto,seagrass
s2312-1-nt230808-bmud-2,Noto,seagrass
s2312-1-nt230808-bmud-3,Noto,seagrass
s2312-1-nt230808-bmud-4,Noto,seagrass
s2312-1-nt230808-bmud-5,Noto,seagrass
s2312-1-nt230808-bmud-6,Noto,seagrass
s2312-2-nt230808-wout-1,Noto,non
s2312-2-nt230808-wout-2,Noto,non
s2312-2-nt230808-wout-3,Noto,non
s2312-2-nt230808-wout-4,Noto,non
s2312-2-nt230808-wout-5,Noto,non
s2312-2-nt230808-wout-6,Noto,non
s2213_tyo_bmud_slee_1,Tokyo_HK,seagrass
s2213_tyo_bmud_slee_2,Tokyo_HK,seagrass
s2213_tyo_bmud_slee_3,Tokyo_HK,seagrass
s2213_tyo_bmud_slee_4,Tokyo_HK,seagrass
s2213_tyo_bmud_slee_5,Tokyo_HK,seagrass
s2213_tyo_bmud_slee_6,Tokyo_HK,seagrass
s2213_tyo_wout_slee_1,Tokyo_HK,non
s2213_tyo_wout_slee_2,Tokyo_HK,non
s2213_tyo_wout_slee_3,Tokyo_HK,non
s2213_tyo_wout_slee_4,Tokyo_HK,non
s2213_tyo_wout_slee_5,Tokyo_HK,non
s2213_tyo_wout_slee_6,Tokyo_HK,non
s2214_ksz_bmud_slee_1,Tokyo_KC,seagrass
s2214_ksz_bmud_slee_2,Tokyo_KC,seagrass
s2214_ksz_bmud_slee_3,Tokyo_KC,seagrass
s2214_ksz_bmud_slee_4,Tokyo_KC,seagrass
s2214_ksz_bmud_slee_5,Tokyo_KC,seagrass
s2214_ksz_bmud_slee_6,Tokyo_KC,seagrass
s2214_ksz_wout_slee_1,Tokyo_KC,non
s2214_ksz_wout_slee_2,Tokyo_KC,non
s2214_ksz_wout_slee_3,Tokyo_KC,non
s2214_ksz_wout_slee_4,Tokyo_KC,non
s2214_ksz_wout_slee_5,Tokyo_KC,non
s2214_ksz_wout_slee_6,Tokyo_KC,non
s2306_hkt_bmud_1,Hakata,seagrass
s2306_hkt_bmud_2,Hakata,seagrass
s2306_hkt_bmud_3,Hakata,seagrass
s2306_hkt_bmud_4,Hakata,seagrass
s2306_hkt_bmud_5,Hakata,seagrass
s2306_hkt_bmud_6,Hakata,seagrass
s2306_hkt_wout_1,Hakata,non
s2306_hkt_wout_2,Hakata,non
s2306_hkt_wout_3,Hakata,non
s2306_hkt_wout_4,Hakata,non
s2306_hkt_wout_5,Hakata,non
s2306_hkt_wout_6,Hakata,non
s2311-bay1yng-okyJuly23-bmud-1,Okayama_K,seagrass
s2311-bay1yng-okyJuly23-bmud-2,Okayama_K,seagrass
s2311-bay1yng-okyJuly23-bmud-3,Okayama_K,seagrass
s2311-bay1yng-okyJuly23-bmud-4,Okayama_K,seagrass
s2311-bay1yng-okyJuly23-bmud-5,Okayama_K,seagrass
s2311-bay1yng-okyJuly23-bmud-6,Okayama_K,seagrass
s2311-bay1yng-okyJuly23-wout-1,Okayama_K,non
s2311-bay1yng-okyJuly23-wout-2,Okayama_K,non
s2311-bay1yng-okyJuly23-wout-3,Okayama_K,non
s2311-bay1yng-okyJuly23-wout-4,Okayama_K,non
s2311-bay1yng-okyJuly23-wout-5,Okayama_K,non
s2311-bay1yng-okyJuly23-wout-6,Okayama_K,non
s2311-bay2gej-okyJuly23-bmud-1,Okayama_G,seagrass
s2311-bay2gej-okyJuly23-bmud-2,Okayama_G,seagrass
s2311-bay2gej-okyJuly23-bmud-3,Okayama_G,seagrass
s2311-bay2gej-okyJuly23-bmud-4,Okayama_G,seagrass
s2311-bay2gej-okyJuly23-bmud-5,Okayama_G,seagrass
s2311-bay2gej-okyJuly23-bmud-6,Okayama_G,seagrass
s2311-bay2gej-okyJuly23-wout-1,Okayama_G,non
s2311-bay2gej-okyJuly23-wout-2,Okayama_G,non
s2311-bay2gej-okyJuly23-wout-3,Okayama_G,non
s2311-bay2gej-okyJuly23-wout-4,Okayama_G,non
s2311-bay2gej-okyJuly23-wout-5,Okayama_G,non
s2311-bay2gej-okyJuly23-wout-6,Okayama_G,non
s2314-1-ktk230802-bmud-1,Kitsuki,seagrass
s2314-1-ktk230802-bmud-2,Kitsuki,seagrass
s2314-1-ktk230802-bmud-3,Kitsuki,seagrass
s2314-1-ktk230802-bmud-4,Kitsuki,seagrass
s2314-1-ktk230802-bmud-5,Kitsuki,seagrass
s2314-1-ktk230802-bmud-6,Kitsuki,seagrass
s2314-2-ktk230802-wout-1,Kitsuki,non
s2314-2-ktk230802-wout-2,Kitsuki,non
s2314-2-ktk230802-wout-3,Kitsuki,non
s2314-2-ktk230802-wout-4,Kitsuki,non
s2314-2-ktk230802-wout-5,Kitsuki,non
s2314-2-ktk230802-wout-6,Kitsuki,non
