feature	metadata	value	name	coef	null_hypothesis	stderr	pval_individual	qval_individual	pval_joint	qval_joint	error	model	N	N_not_zero
B_D_0__Bacteria.D_1__Chloroflexi.D_2__Anaerolineae.D_3__Anaerolineales.D_4__Anaerolineaceae	env	Kitsuki	envKitsuki	-5.06972309	0.388324752	0.33189557	0	0	0	0	NA	abundance	132	129
B_D_0__Bacteria.D_1__Chloroflexi.D_2__Anaerolineae.D_3__Anaerolineales.D_4__Anaerolineaceae	env	Noto	envNoto	-2.410764992	0.55175446	0.265497425	0	0	0	0	NA	abundance	132	129
B_D_0__Bacteria.D_1__Chloroflexi.D_2__Anaerolineae.D_3__Anaerolineales.D_4__Anaerolineaceae	env	Saiki	envSaiki	-2.924159973	0.130607133	0.251320674	0	0	0	0	NA	abundance	132	129
B_D_0__Bacteria.D_1__Chloroflexi.D_2__Anaerolineae.D_3__Anaerolineales.D_4__Anaerolineaceae	env	Tokyo_HK	envTokyo_HK	-3.090054225	0.250289059	0.306570019	0	0	0	0	NA	abundance	132	129
B_D_0__Bacteria.D_1__Chloroflexi.D_2__Anaerolineae.D_3__Anaerolineales.D_4__Anaerolineaceae	env	Tokyo_KC	envTokyo_KC	-3.914062287	1.075083241	0.306570019	0	0	0	0	NA	abundance	132	129
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Alphaproteobacteria.D_3__Rhodobacterales.D_4__Rhodobacteraceae	env	Saiki	envSaiki	3.573338155	0.130607133	0.240921018	0	0	0	0	NA	abundance	132	132
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Deltaproteobacteria.D_3__Syntrophobacterales.D_4__Syntrophobacteraceae	env	Kitsuki	envKitsuki	-4.31476486	0.388324752	0.314294998	0	0	0	0	NA	abundance	132	98
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Deltaproteobacteria.D_3__Syntrophobacterales.D_4__Syntrophobacteraceae	env	Saiki	envSaiki	-5.661740169	0.130607133	0.295714844	0	0	0	0	NA	abundance	132	98
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Deltaproteobacteria.D_3__Syntrophobacterales.D_4__Syntrophobacteraceae	env	Tokyo_HK	envTokyo_HK	-5.030336747	0.250289059	0.294372839	0	0	0	0	NA	abundance	132	98
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Deltaproteobacteria.D_3__Syntrophobacterales.D_4__Syntrophobacteraceae	env	Tokyo_KC	envTokyo_KC	-3.826694615	1.075083241	0.294708913	0	0	0	0	NA	abundance	132	98
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Gammaproteobacteria.D_3__B2M28.D_4__uncultured.gamma.proteobacterium	env	Kitsuki	envKitsuki	-3.111707366	0.388324752	0.265611058	0	0	0	0	NA	abundance	132	101
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Gammaproteobacteria.D_3__B2M28.D_4__uncultured.gamma.proteobacterium	env	Saiki	envSaiki	-3.912302281	0.130607133	0.294417573	0	0	0	0	NA	abundance	132	101
D_4__Unknown_Family	env	Saiki	envSaiki	-2.681806737	0.130607133	0.23766187	0	0	0	0	NA	abundance	132	130
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Deltaproteobacteria.D_3__Syntrophobacterales.D_4__Syntrophobacteraceae	env	Noto	envNoto	-2.10245447	0.55175446	0.243070372	1.11E-16	6.43E-14	2.22E-16	1.01E-13	NA	abundance	132	98
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Alphaproteobacteria.D_3__Rhodobacterales.D_4__Rhodobacteraceae	env	Kitsuki	envKitsuki	3.488481923	0.388324752	0.293920887	3.33E-16	1.69E-13	3.33E-16	1.33E-13	NA	abundance	132	132
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Gammaproteobacteria.D_3__B2M28.D_4__uncultured.gamma.proteobacterium	env	Tokyo_KC	envTokyo_KC	-2.024566504	1.075083241	0.272693996	3.33E-16	1.69E-13	3.33E-16	1.33E-13	NA	abundance	132	101
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Alphaproteobacteria.D_3__Rhodobacterales.D_4__Rhodobacteraceae	env	Hakata	envHakata	2.289765104	-0.547560018	0.293920887	8.88E-16	4.23E-13	8.88E-16	3.33E-13	NA	abundance	132	132
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Alphaproteobacteria.D_3__Rhodobacterales.D_4__Rhodobacteraceae	env	Tokyo_HK	envTokyo_HK	3.071374982	0.250289059	0.293920887	9.33E-15	4.2E-12	9.33E-15	3.3E-12	NA	abundance	132	132
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Gammaproteobacteria.D_3__Cellvibrionales.D_4__Halieaceae	env	Saiki	envSaiki	-1.778694334	0.130607133	0.191537612	2.83E-14	1.21E-11	2.83E-14	9.5E-12	NA	abundance	132	131
